Facility,Lat,Long,Archetype
Sample Residence 2,14.270491250764078,121.07076860453901,residential
Sample Residence 2_Point_1,14.245858106230987,121.06122394116933,residential
Sample Residence 2_Point_2,14.254867115239996,121.06122394116933,residential
Sample Residence 2_Point_3,14.263876124249006,121.06122394116933,residential
Sample Residence 2_Point_4,14.272885133258015,121.06122394116933,residential
Sample Residence 2_Point_5,14.254867115239996,121.07023295017834,residential
Sample Residence 2_Point_6,14.263876124249006,121.07023295017834,residential
Sample Residence 2_Point_7,14.272885133258015,121.07023295017834,residential
Sample Residence 2_Point_8,14.281894142267024,121.07023295017834,residential
Sample Residence 2_Point_9,14.263876124249006,121.07924195918734,residential
Sample Residence 2_Point_10,14.272885133258015,121.07924195918734,residential
Sample Residence 2_Point_11,14.281894142267024,121.07924195918734,residential
Sample Residence 2_Point_12,14.290903151276034,121.07924195918734,residential
Sample Residence 2_Point_13,14.272885133258015,121.08825096819635,residential
Sample Residence 2_Point_14,14.281894142267024,121.08825096819635,residential
