Facility,Lat,Long,Archetype
Sample Residence 2,14.272309951467378,121.07024799750562,residential
Sample Residence 2_Point_1,14.246237261428693,121.05904291139719,residential
Sample Residence 2_Point_2,14.255246270437702,121.05904291139719,residential
Sample Residence 2_Point_3,14.264255279446711,121.05904291139719,residential
Sample Residence 2_Point_4,14.27326428845572,121.05904291139719,residential
Sample Residence 2_Point_5,14.28227329746473,121.05904291139719,residential
Sample Residence 2_Point_6,14.255246270437702,121.06805192040619,residential
Sample Residence 2_Point_7,14.264255279446711,121.06805192040619,residential
Sample Residence 2_Point_8,14.27326428845572,121.06805192040619,residential
Sample Residence 2_Point_9,14.28227329746473,121.06805192040619,residential
Sample Residence 2_Point_10,14.264255279446711,121.0770609294152,residential
Sample Residence 2_Point_11,14.27326428845572,121.0770609294152,residential
Sample Residence 2_Point_12,14.28227329746473,121.0770609294152,residential
Sample Residence 2_Point_13,14.29128230647374,121.0770609294152,residential
Sample Residence 2_Point_14,14.27326428845572,121.0860699384242,residential
Sample Residence 2_Point_15,14.28227329746473,121.0860699384242,residential
