Facility,Asset Archetype,Lat,Long,Flood Depth (meters),Flood Depth (meters) - Moderate Case,Flood Depth (meters) - Worst Case,Water Stress Exposure (%),Water Stress Exposure 2030 (%) - Moderate Case,Water Stress Exposure 2050 (%) - Moderate Case,Water Stress Exposure 2030 (%) - Worst Case,Water Stress Exposure 2050 (%) - Worst Case,2030 Sea Level Rise (meters) - Moderate Case,2040 Sea Level Rise (meters) - Moderate Case,2050 Sea Level Rise (meters) - Moderate Case,2030 Sea Level Rise (meters) - Worst Case,2040 Sea Level Rise (meters) - Worst Case,2050 Sea Level Rise (meters) - Worst Case,Extreme Windspeed 10 year Return Period (km/h),Extreme Windspeed 20 year Return Period (km/h),Extreme Windspeed 50 year Return Period (km/h),Extreme Windspeed 100 year Return Period (km/h),Extreme Windspeed 10 year Return Period (km/h) - Moderate Case,Extreme Windspeed 20 year Return Period (km/h) - Moderate Case,Extreme Windspeed 50 year Return Period (km/h) - Moderate Case,Extreme Windspeed 100 year Return Period (km/h) - Moderate Case,Extreme Windspeed 10 year Return Period (km/h) - Worst Case,Extreme Windspeed 20 year Return Period (km/h) - Worst Case,Extreme Windspeed 50 year Return Period (km/h) - Worst Case,Extreme Windspeed 100 year Return Period (km/h) - Worst Case,Days over 30° Celsius,Days over 33° Celsius,Days over 35° Celsius,Days over 35° Celsius (2026 - 2030) - Moderate Case,Days over 35° Celsius (2031 - 2040) - Moderate Case,Days over 35° Celsius (2041 - 2050) - Moderate Case,Days over 35° Celsius (2026 - 2030) - Worst Case,Days over 35° Celsius (2031 - 2040) - Worst Case,Days over 35° Celsius (2041 - 2050) - Worst Case,Storm Surge Flood Depth (meters),Storm Surge Flood Depth (meters) - Worst Case,Rainfall-Induced Landslide (factor of safety),Rainfall-Induced Landslide (factor of safety) - Moderate Case,Rainfall-Induced Landslide (factor of safety) - Worst Case
Dummy Facility 1,Factory,12.30177,125.128184,0.1 to 0.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.1,0.15,0.22,0.11,0.17,0.25,168.0,186.0,208,224,183,203,227,244,194,215,241,259,329.0,126.0,0.0,7,6,8,1,1,38,0.0,0,0.0,0,0
Dummy Facility 10,Mall,7.801026,122.576287,0.1 to 0.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.08,0.13,0.19,0.09,0.15,0.22,0.0,0.0,73,82,0,0,80,90,0,0,85,95,366.0,130.0,0.0,24,45,45,32,18,75,0.0,0,0.0,0,0
Dummy Facility 2,Warehouse,9.837535,124.057677,0.1 to 0.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.08,0.13,0.19,0.09,0.15,0.22,92.0,132.0,162,182,100,144,177,198,107,153,187,211,366.0,331.0,112.0,194,251,236,215,202,281,0.0,0,0.0,0,0
Dummy Facility 3,Factory,8.757356,117.56398,0.1 to 0.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.1,0.15,0.22,0.11,0.17,0.25,0.0,69.0,96,114,0,75,105,124,0,80,111,132,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,2.0,2,2
Dummy Facility 4,Mall,12.912955,121.26193,≥ 1.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.19,0.27,0.38,0.19,0.29,0.41,133.0,154.0,172,187,145,168,187,204,154,178,199,216,42.0,0.0,0.0,0,0,0,0,0,0,0.0,0,3.0,3,3
Dummy Facility 5,Power Plant,8.303814,126.201083,0.1 to 0.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.09,0.14,0.21,0.1,0.16,0.24,73.0,96.0,156,182,80,105,170,198,85,111,181,211,354.0,177.0,0.0,0,7,5,2,0,34,0.0,0,0.0,0,0
Dummy Facility 6,Power Plant,15.971699,120.74245,0.1 to 0.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.21,0.31,0.43,0.22,0.33,0.46,145.0,163.0,181,192,158,178,197,209,168,189,209,222,366.0,123.0,43.0,65,76,74,68,69,88,0.0,0,0.0,0,0
Dummy Facility 7,Warehouse,9.809249,118.665864,0.1 to 0.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.11,0.17,0.24,0.12,0.18,0.27,0.0,81.0,121,142,0,89,132,155,0,94,140,164,365.0,2.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0
Dummy Facility 8,Factory,13.879938,122.846187,0.1 to 0.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.18,0.26,0.36,0.18,0.28,0.39,154.0,171.0,189,198,168,186,206,216,178,198,219,229,266.0,42.0,0.0,1,1,3,0,0,10,0.0,0,0.0,0,0
Dummy Facility 9,Power Plant,18.147831,120.785939,0.1 to 0.5,0.1 to 0.5,0.1 to 0.5,4.4,4.4,5.4,3.9,4.6,0.16,0.23,0.33,0.17,0.25,0.36,139.0,153.0,167,180,152,167,182,196,161,177,193,208,365.0,181.0,48.0,76,92,87,84,75,107,0.0,0,0.0,0,0
