Facility,Lat,Long,2030 Sea Level Rise (meters) - Moderate Case,2040 Sea Level Rise (meters) - Moderate Case,2050 Sea Level Rise (meters) - Moderate Case,2030 Sea Level Rise (meters) - Worst Case,2040 Sea Level Rise (meters) - Worst Case,2050 Sea Level Rise (meters) - Worst Case
Dummy Facility 1,12.30177,125.128184,0.1,0.15,0.22,0.11,0.17,0.25
Dummy Facility 10,7.801026,122.576287,0.08,0.13,0.19,0.09,0.15,0.22
Dummy Facility 2,9.837535,124.057677,0.08,0.13,0.19,0.09,0.15,0.22
Dummy Facility 3,8.757356,117.56398,0.1,0.15,0.22,0.11,0.17,0.25
Dummy Facility 4,12.912955,121.26193,0.19,0.27,0.38,0.19,0.29,0.41
Dummy Facility 5,8.303814,126.201083,0.09,0.14,0.21,0.1,0.16,0.24
Dummy Facility 6,15.971699,120.74245,0.21,0.31,0.43,0.22,0.33,0.46
Dummy Facility 7,9.809249,118.665864,0.11,0.17,0.24,0.12,0.18,0.27
Dummy Facility 8,13.879938,122.846187,0.18,0.26,0.36,0.18,0.28,0.39
Dummy Facility 9,18.147831,120.785939,0.16,0.23,0.33,0.17,0.25,0.36
Sample Residence,14.269135,121.071792,0.22,0.32,0.44,0.23,0.34,0.47
